Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
0,2.0747271788363553,1.9991511285305024,0.24361447701040578,0.28828125
1,1.9603091861520494,1.9093862414360045,0.30421316973408874,0.33349609375
2,1.8929183610848017,1.8469992607831955,0.34708625640796154,0.3744140625
3,1.839902336500129,1.815233615040779,0.3782007333879568,0.4009765625
4,1.7819179752651526,1.7628064781427384,0.40918765946918606,0.425
5,1.737313179945459,1.7351326495409012,0.43153698985673944,0.42998046875
6,1.6947214420960874,1.6980575650930405,0.4522680165816326,0.44248046875
7,1.662695891394907,1.6783222198486327,0.46985809961143804,0.45302734375
8,1.631199917622975,1.6616431146860122,0.4865632972546986,0.46796875
9,1.6040015403105288,1.6325595259666443,0.5014229911018391,0.48544921875
10,1.583241033310793,1.6066867977380752,0.509765625,0.491015625
11,1.555412847776802,1.577385386824608,0.5224609375,0.51005859375
12,1.5357732961372452,1.5581715941429137,0.5350845027334836,0.51884765625
13,1.5179122978327226,1.553186196088791,0.54357063131673,0.52255859375
14,1.4959989494206953,1.5431159406900405,0.5534996811528595,0.5298828125
15,1.4792164308684213,1.5248965620994568,0.5625279019681775,0.5392578125
16,1.4584801458582586,1.5113159537315368,0.5740074938049122,0.5466796875
17,1.4456404246846024,1.5118808686733245,0.5805484695093972,0.54775390625
18,1.4291132481730715,1.492785707116127,0.5864795917759136,0.55791015625
19,1.4120828880339253,1.4941175997257232,0.596129623906953,0.5541015625
20,1.3977302258111992,1.4662771195173263,0.6020328445093972,0.569921875
21,1.3813912667790238,1.4611554563045501,0.6119419643465354,0.5619140625
22,1.362073391675949,1.458550587296486,0.6164740114187708,0.569921875
23,1.3543806142952977,1.4650991678237915,0.6216876594995966,0.570703125
24,1.3331062629514812,1.453533574938774,0.6331154336126483,0.57734375
25,1.3221237264117416,1.4437356352806092,0.6410235969387755,0.577734375
26,1.3106444332064415,1.4393057256937027,0.6452327805514239,0.58193359375
27,1.2943139325599282,1.4331555128097535,0.6551299426628618,0.5927734375
28,1.2796598897904765,1.4233623623847962,0.6612962371840769,0.59951171875
29,1.2695374683457978,1.4278578281402587,0.6642817283163265,0.59755859375
30,1.2561582746554394,1.4065052568912506,0.6734255421526578,0.6048828125
31,1.246015954990776,1.415401092171669,0.6770766900510204,0.59990234375
32,1.2341978349247757,1.3978157430887221,0.6827287947644993,0.6091796875
33,1.2151439475769898,1.4221149206161499,0.6904097576530612,0.5943359375
34,1.2037906014189428,1.4027330309152604,0.6968989159379687,0.6076171875
35,1.1897149961821887,1.4168247818946837,0.7019610970604176,0.59951171875
36,1.175861615307477,1.4011797696352004,0.7095942284379687,0.61044921875
37,1.165184700367402,1.402700462937355,0.7134367029885856,0.6115234375
38,1.15010239883345,1.40685678422451,0.721743462949383,0.6125
39,1.1435582929727983,1.3992794305086136,0.7247209822644993,0.6130859375
40,1.1310544835061442,1.4097644358873367,0.7336894133869483,0.61552734375
41,1.119112183244861,1.4099894165992737,0.7352638712951115,0.61396484375
42,1.1093075965740242,1.430165183544159,0.7400948660714286,0.6029296875
43,1.095308133838128,1.4158808827400207,0.7473772323253204,0.615234375
44,1.0897986000897932,1.4192310869693756,0.7519371810616279,0.61259765625
45,1.07653239916782,1.4188847810029983,0.7561144771016374,0.61748046875
46,1.067774654042964,1.4174182534217834,0.7618981186224489,0.611328125
47,1.059076453045923,1.4112194299697876,0.7670200892857143,0.61953125
48,1.0455432896103178,1.3914423078298568,0.7698142537657096,0.62783203125
49,1.037903478863288,1.4215615957975387,0.7761559313049122,0.62109375
50,1.0180050009975627,1.4056738525629044,0.7864317602040817,0.62919921875
51,1.0222961780976276,1.4129085570573807,0.7834064093779545,0.62724609375
52,1.0090036109393956,1.4281708478927613,0.7884247448979592,0.61953125
53,0.9979929504345875,1.4136857241392136,0.7946189413873517,0.61923828125
54,0.9918120269264493,1.4139999747276306,0.7983777106416469,0.630078125
55,0.9909747632182374,1.4316829144954681,0.7980867347546986,0.61904296875
56,0.9758052071746515,1.417147472500801,0.804934630284504,0.62939453125
57,0.9709117309171327,1.4098428249359132,0.8079599808065259,0.6357421875
58,0.9604633593437623,1.413837930560112,0.8119698662538918,0.631640625
59,0.9562088935350885,1.430922955274582,0.8155931121840769,0.62783203125
60,0.9508754905997491,1.4350504487752915,0.8160116389697912,0.6232421875
61,0.9394257497422549,1.3909487530589104,0.8211575256926673,0.64326171875
62,0.9347472972407633,1.421333971619606,0.8248007014697912,0.6294921875
63,0.9285554627374727,1.413373950123787,0.8276666135204082,0.63369140625
64,0.918345252165989,1.4424297839403153,0.8339245854591837,0.62880859375
