Epoch,Train Loss,Validation Loss
1,0.28040692635944914,0.12696021962910892
2,0.11899347424659194,0.11259626243263483
3,0.10379273756122102,0.10686804987490177
4,0.09697345902725142,0.09748639706522226
5,0.09292129723697293,0.08848701901733876
6,0.08477249232177832,0.0827036889269948
7,0.08079931930619844,0.08017867542803288
8,0.07528152788171963,0.07135688047856092
9,0.0642918489341225,0.059642342198640105
10,0.05304831785282919,0.045164181478321554
11,0.03782252602431239,0.03462701765820384
12,0.03125268384358104,0.03091489225625992
13,0.02780769965896497,0.025783069990575315
14,0.025488446618677402,0.024721429217606783
15,0.02397117026302279,0.02291174833662808
16,0.022693918058078508,0.021865833178162576
17,0.021421106484699613,0.02069246000610292
18,0.02035075669385949,0.020731996884569524
19,0.019349816568880056,0.019218808971345425
20,0.018703057896345854,0.01902003325521946
21,0.018038244157725453,0.017775203101336956
22,0.017652964195692723,0.01759562180377543
23,0.017223850705147703,0.016937036998569965
24,0.016890646267340194,0.01693989457562566
25,0.016616607683577707,0.0163909972878173
26,0.016411895307769278,0.016400957503356038
27,0.016092725730101978,0.01672377926297486
28,0.015845356409304907,0.0160354083403945
29,0.015757184347365887,0.015687629184685647
30,0.01537789962235458,0.015944966580718756
31,0.015336963747228895,0.015673558856360615
32,0.015101507614955914,0.015470304689370096
33,0.014980628625584804,0.015272650751285255
34,0.014904602620826692,0.014873338188044727
35,0.014661675214539377,0.015386214922182262
36,0.014623653747103348,0.015069086640141904
37,0.014444686458160987,0.014873466035351158
38,0.014332486753713111,0.014279728080146015
39,0.014304661738439178,0.01411669459193945
40,0.014102194871639415,0.014613979472778737
41,0.013938140052807878,0.014056321163661779
42,0.013920173196274102,0.013845177181065083
43,0.013846565974039994,0.014350367267616094
44,0.013647802829818458,0.013764408486895263
45,0.013622713731411768,0.014172406587749719
46,0.013578192297635334,0.013958911434747279
47,0.013427939954955054,0.013316758978180587
48,0.013390755280852318,0.013421217328868806
49,0.01324096314456998,0.013433804665692151
50,0.013201545130423441,0.013174224109388889
51,0.013137760291788347,0.01316070246975869
52,0.013051738202267764,0.01300379044841975
53,0.012879057682822553,0.013132037688046693
54,0.012869637027116758,0.013151405286043883
55,0.012783211147488684,0.012694736779667436
56,0.012714962831375246,0.012889949162490666
57,0.01262159380890733,0.012980044027790428
58,0.012567193627509535,0.01282981268595904
59,0.012531477606342155,0.01244199718348682
60,0.012430374425056637,0.012645991961471736
61,0.01247717880605891,0.012778445193544031
62,0.012379160502507371,0.01234121099114418
63,0.012284537758298067,0.012423877301625908
64,0.012267714494611231,0.01235571396537125
65,0.012242940173731471,0.012459929916076362
66,0.012116339461573837,0.012341098813340067
67,0.012137081806680985,0.01217116613406688
68,0.012061891017709764,0.012334412336349488
69,0.012081958980736683,0.012019882653839886
70,0.012000708527178789,0.01198425767943263
71,0.01202488026334619,0.011831273674033582
72,0.011924082285021337,0.012236844329163433
73,0.011898315934540361,0.011857823259197176
74,0.011868153632219349,0.012052796548232436
75,0.011872593275442416,0.011890101712197065
76,0.01184351772202977,0.012115506106056273
77,0.011796220552594381,0.011623411625623702
78,0.011733101334004683,0.011741201719269156
79,0.011745598699365343,0.011707711615599692
80,0.011713376596608028,0.011606865283101796
81,0.01166794423907235,0.011819499754346907
82,0.011628018473560105,0.011863080179318785
83,0.011668216831487964,0.01186469525564462
84,0.011643258764465548,0.011508066393435
85,0.011548577665294312,0.01170490742661059
86,0.011614290175351257,0.011712692631408572
87,0.011601716389271374,0.011683253152295948
88,0.011592121552485896,0.01152348737232387
89,0.011620579791084235,0.011523280292749405
90,0.01151646271690118,0.011564060137607158
91,0.01152089918602486,0.011457068985328079
92,0.011476446703380468,0.011460959119722247
93,0.011434289203880697,0.011512725637294352
94,0.011525399517267942,0.0114521510200575
95,0.011466776942644192,0.011479665338993073
96,0.011425981293337382,0.011402561631985008
97,0.01145742626442593,0.011523233889602125
98,0.011431911223739082,0.011614927439950407
99,0.011379316715257508,0.01142382191028446
100,0.01146682774248932,0.011514360294677317
